userName,score,date,thumbsUpCount,comment
저글링블러드,1,2021-09-03,0,체크카드 신청하는데 자꾸 촬영에.실패했다고만 뜨고 아예 촬영할 기회조차 안뜸
지누지누,2,2021-09-03,2,꺼진화면서 알람이 오면 화면이 켜지지 않습니다. A90 사용자 입니다. 확인후 수정해 주세요
앵무새,1,2021-09-03,0,재가 미니카드신청을하려고 로그인을하는대 이전이력이 있다고 해서요... 저는 예전에 카뱅을쓴 기억이 없어서요.. 해결해주세요 미니카드만들고싶어서 영상통화 등록까지 해도 않된다내욤!!😡
김성길,5,2021-09-03,0,좋아요.
Hyunsik Yu,1,2021-09-03,2,대출이자는 처음엔 싸다가 슬금슬금 올려서 딴은행보다 비싸고 예금금리는 제일 낮고 별 하나도 아깝지만 이게 최저라 그냥 준다
박재선,5,2021-09-03,0,없음
yj park,5,2021-09-03,0,굿
소슌,1,2021-09-03,2,도대체 몇번을 본인 인증을 시키는 건지 그러고도 왜 로그인이 안되는건지요!!!!
크라,3,2021-09-03,0,실수로 잘못결제해서 당황해서 나갔는데 돈만 빠져나갔네요..환불 못받나요?
SUAH YU,1,2021-09-02,0,전화 좀 작작해요ㅡㅡ
장진욱,5,2021-09-02,0,맛좋네
정혜은,3,2021-09-02,2,패턴하구 비밀번호 잊어버려서 다시 인증하고 다른계좌에서 송금하구 그러면 패턴 오류라고 처음으로 돌아가여
한재성,5,2021-09-02,2,모임통장 및 세이프박스 잘 쓰는중 대출금리 한도 등은 타은행대비 부족하다 생각함
Communal Account,1,2021-09-02,0,일시적오류로 안됨 걍 다른은행거 만들어야지
우주영,5,2021-09-02,0,간편하고 좋습니다
김삼술,5,2021-09-01,0,넘고맙습니다 좋아서요
Soyoung Kang,5,2021-09-01,0,신분증 여권사용도 가능하기 해주세요 ㅠㅠ
영,5,2021-08-31,0,너무너무 편하고 좋읍니다
코쵸우글루,1,2021-08-31,2,비밀번호랑 인증비밀번호를 까먹었는데 복구 할수있는방법이 없을까요? 고객센터 문의 말고요 다른 방법이 없나요?
__,3,2021-08-31,2,다 좋았는데 왜 카카오뱅크 계좌번호가 네이버 시리즈 결제에 안 먹히는지 도무지 알 길이 없네요..
Google 사용자,3,2021-08-31,0,너무좋다
최은하,5,2021-08-31,0,쓰기편하네요
Jason Antonio,1,2021-08-31,5,뭐지요? 로그인시마다 초기화되고 매번 신분증으로 본인화인시키면 누가 사용합니까? 타 금융사 앱보다 더 불편 하네요.
카드값줘체리,1,2021-08-31,24,"아무리 아니라고 말을 해도 상담원이 계속 보이스피싱일 수 있다고 하는데 적당히 좀 합시다. 제가 카카오뱅크에 제 사생활까지 말해주면서 아닌 이유를 대야합니까? 보이스피싱위험 때문에 그런거 알겠는데, 적당히 하자는겁니다."
송현정,5,2021-08-31,1,진짜 편리하고 쓰기넘좋아욘 ㅜㅜ
박화범,5,2021-08-31,0,정말좋아요
녹차,4,2021-08-31,47,비번만으로 잠금해놓고 싶은데 지문아니면 패턴으로만 인증이 되는건가요? 너무 불편해요 지문은 스마트폰을 갤럭시를 써서 보안 취약해서 일부러 안해놓고 패턴은 까먹기쉬워서 비밀번호가 편한데
박지성,1,2021-08-30,0,앱업데이트죙일걸리네 ㄷㄷ
박춘근,5,2021-08-30,0,좋아
유정운,1,2021-08-30,2,사진찍는대 애 먹음 무슨 신분증 찍는대 장소를 여러곳옴김 무슨 빛반사 어쩌구 아니 일반 킥보드도쉽게 사진 찍히는대 여기는 너무어려움
서연,1,2021-08-30,108,실수로 다른 계좌로 인증하기를 눌렀은데 다시 뒤로 가지도 못하고 지웠다 다시 깔아도 계속 다른 계좌로 인증하기가 떠서 매우 불편합니다. 최소한 뒤로 다시 갈 수 있게 만드셨으면 좋겠네요. 실수로 인해서 30일이나 기다렸다가 해야할까 싶네요.
엄윤성,3,2021-08-29,7,개명했는데 어차피 잘 안쓰기도 했고 앱 지운상태에서 내가 개명했음을 알릴 수 있는 수단이 없어서 걍 안쓸랍니다 열받네요 신분증 촬영해놔도 혹시 개명하셨나요? 이런 메세지도 안뜨고 허접한듯?
이경은,5,2021-08-29,0,편리하게 사용하고있습니다 만족합니다
bar hop,1,2021-08-28,0,어플 리뷰 진짜 안쓰는 편인데 진짜 별루임
이상진,1,2021-08-28,0,대부업체에 금융정보 팔아처먹는 쓰레기 ㅋ
Fds Ir,5,2021-08-28,2,"카카오뱅크는 나의 목숨을 한번 붙들게해주엇다, 그리고 몇년간 잘사용하엿고 입출금알람도 씹힘이업다. 아직도 눈물이흐른다"
__aho _,1,2021-08-27,0,느림
박갓띄,5,2021-08-27,0,😍
신종승,5,2021-08-27,0,젛습니디
제갈찬호,1,2021-08-27,0,상대방이 보낸 돈 카뱅으로 ㅈ대로 넣어놓고 신분증 훼손이라고 내 돈 빼질 못하네 ㅋㅋ어이가 없다
BD Y,1,2021-08-27,0,저렴했었던 마통 금리 자꾸 올리네. 경쟁력 없어지면 갈아탈꺼임.
Google 사용자,1,2021-08-27,0,앱다운이안됨
JONGSIK JEON,5,2021-08-27,0,사용에 편리핫 최고의 은행으로 인정함.
박혜란,2,2021-08-27,0,어플이설치가안되요
오늘도 솔나_,5,2021-08-27,0,비번 잘 기억 하세요.
#NAME?,5,2021-08-27,0,생활이 편리해 졌어요 ^
jaeho kim,4,2021-08-26,0,잘쓰고 있어여
유현희,5,2021-08-26,1,수수료없이 사용하기에 너ㅡㅡㅡ무 좋와요 카카오뱅크에 감사드립니다 .
