WORD,TAG,reinforcer,score,count
고통,NNG,1,0,10
고하,VV,1,0,3
고해,NNP,1,0,1
고화,NNG,1,0,1
곡,NNG,1,0,4
곤,NNP,1,0,2
곤란,NNG,1,0,17
곤욕,NNG,1,0,1
곧,MAG,1,0,30
곧바로,MAG,1,0,3
곧이곧대로,MAG,1,0,1
곧잘,MAG,1,0,2
골,NNG,1,0,9
골고루,MAG,1,0,3
골드,NNP,1,0,10
골머리,NNG,1,0,1
골목길,NNG,1,0,1
골뱅이,NNP,1,0,1
골병,NNG,1,0,1
골수,NNP,1,0,4
골치,NNG,1,0,4
골프,NNP,1,0,1
곱씹,VV,1,0,1
곳,NNG,1,0,274
곳곳,NNG,1,0,4
곳도,NNP,1,0,14
공,NNG,1,0,12
공,NNP,1,0,5
공간,NNG,1,0,19
공간,NNP,1,0,16
공감,NNG,1,0,5
공개,NNG,1,0,13
공격,NNG,1,0,4
공고,NNP,1,0,1
공공,NNP,1,0,2
공공장소,NNP,1,0,2
공과금,NNG,1,0,86
공금,NNG,1,0,1
공급,NNG,1,0,1
공급자,NNG,1,0,1
공기,NNG,1,0,2
공기업,NNP,1,0,2
공단,NNP,1,0,2
공돈,NNG,1,0,2
공동,NNG,1,0,82
공동 인증서,NNP,1,0,183
공들이,VV,1,0,1
공론,NNG,1,0,1
공매도,NNP,1,0,2
공모,NNG,1,0,1
공모,NNP,1,0,2
공모주,NNG,1,0,3
공무원,NNG,1,0,3
공문,NNG,1,0,2
공백,NNP,1,0,4
공부,NNG,1,0,10
공사,NNG,1,0,1
공산,NNP,1,0,1
공산당,NNP,1,0,1
공시,NNG,1,0,4
공시,NNP,1,0,1
공식,NNG,1,0,13
공신,NNP,1,0,2
공연,NNP,1,0,1
공용,NNP,1,0,11
공원,NNP,1,0,1
공유,NNG,1,0,10
공유,NNP,1,0,4
공익,NNP,1,0,1
공인,NNP,1,0,111
공인인증서,NNP,1,0,553
공자,NNP,1,0,2
공장,NNG,1,0,2
공제,NNP,1,0,3
공제액,NNG,1,0,1
공중,NNG,1,0,3
공중파,NNG,1,0,1
공증,NNP,1,0,2
공지,NNG,1,0,10
공지,NNP,1,0,149
공짜,NNG,1,0,13
공통,NNG,1,0,6
공통점,NNG,1,0,2
공평,NNG,1,0,1
공항,NNP,1,0,1
공해,NNP,1,0,1
공황,NNP,1,0,1
공휴일,NNP,1,0,3
공히,MAG,1,0,1
곶,NNG,1,0,1
