,comment
127,앱 너무 불편하네요 신분증 사진을 몇 번이나 다른 공간에 가서 찍어도 안 되네요 그리고 갑자기 앱 튕겨서 나오게 되고
128,간편하고 화면 메뉴 배열이 좋습니다
129,참 유용하고 편리한 앱입니다
130,진짜 화딱지 나는 앱 신분증 면허증 인증이 전혀 안돼요
131,현재 인증서 로그인 화면이 나오질 않고 모든 버튼이 먹통입니다 홈 화면에서 그대로 멈춰 반응이 없네요 삭제해도 그대로고 끄고 다시 켜도 그대로네요 이거 어떻게 합니까
132,로그인 시 문제가 생기는지 앱 켜면 계속 멈춘 상태입니다 지웠다 설치해도 똑같고 9월 들어서부터 계속 이 상태인데
133,친절
134,오늘 하루 종일 응답 코드 NT008이 뜨면서 어플 이 실행이 안되어서 이체를 못하고 있어요 LTE는 이상 없는데 왜 그럴까요
135,인증서 발급받으려고 허면 TAP 내부 오류라고 뜨면서 안 넘어가지는데 어떡하나요
136,다른 분들 리뷰처럼 저도 요새 앱을 열면 그대로 먹통이 되어서 아무 반응이 없습니다 맨 처음 실행하면 인증서로 그인 화면이 뜨는데 그 상태에서 그대로 먹통이 되고 어디를 눌러도 먹히는 것이 하나 없어요 혹시나 해서 업데이트를 해도 마찬가지네요
137,적금 적립이 됐는지 확인하기 위해 회원가입 좀 하려는데 그러려면 신분증 사진을 찍어야 된답니다 하지만 카메라 렌즈가 좀 망가져서 사진 촬영을 해도 인식을 못 하는데 신분증 촬영 안 하고 회원가입하는 방법은 없습니까
138,신한쏠처럼 입출금 될 때 알림 오면 편리할 거 같네요 이런 알림 하나 없다는 게 참
139,어제부터 앱 계속 중단된다고요 도와주세요
140,좋다
141,모바일 인증서 발급 중 1원 입금 인증 여기부터 작동이 안 된다 수십 번 했는데 여기서부터 안된다고
142,진짜 어이가 없어서 말이 안 나오네요 아니 대체 로그인이 계속 안되는 건 가요 아이디 조회 및 재설정해서 비번 바꾸고 로그인하면 다시 3번 이상 틀렸다고 재설정하라고 난리네요;;; 이게 한두 번이면 말을 안 하는데 대체 들어갈 때마다 이러는 건 뭔가요 저 이번 주에 에러 나고 재설정하라고만 해서 6번쯤 한 것 같은데 아직도 로그인이 안 되고 있네요 그냥 국민은행 말고 타사로 통장 이전해야 하나 고민되네요; 아직도 로그인 안 되고 재설정해도 똑같습니다 로그인이 안 돼서 인터넷 결제에 문제가 생기고 있고요;;;
143,어휴
144,1주일째 모바일 인증서 로그인이 안 돼요 정보를 불러오는 중입니다라고 한참 뜨다가 응답하지 않는다는 메시지가 나옵니다 송금업무를 못하고 있어요 제발 고쳐주세요
145,오늘 로그인 설정 몇 번을 하는지 짜증 납니다
146,물건 사면 알림 오는데 알림도 안 오고 숫자 지문 패턴 인증서 전부 비밀번호 로그인하면  고객님 죄송합니다 거래 처리 중 일시적인 오류가 발생하였다고 메시지만 계속 뜨네요 KB 스타 알림 KB 스타뱅킹 둘 다 안됩니다 이거 해결 안 되나요
147,일시적 오류라면서 로그인조차 안 되는데 광고성 스팸전화 돌릴 시간에 이런 오류 먼저 잡아내 새여 장기 대출 광고 전화나 문자만 열심히 돌리지 마시고
148,2021년 9월 15일 7시 30분부터 지금까지 로그인하려고 하면 오류코드 뜨며 접속이 안됩니다 공지라도 보내주던가 아무런 이유도 대책도 없이 거래가 안되니 답답합니다
149,스타뱅킹 리브 둘 다 오류로 인해 로그인 진행이 안됩니다 음 최근에 썼을 땐 괜찮았는데 이상하네요 폰을 껐다 켜도 마찾가지 입니다 고객센터에 전화하라고 안내받았지만 15xx 이런 번호는 지금 제 요금제로는 전화 시간이 거의 안 남아서 없네요 다른 분들 리뷰를 보니 비슷비슷한 문제가 발생 중인 게 꽤 오래되어 보이는데 고객센터로 전화하란 말 말고 방안을 말해주세요 해보겠습니다
150,로그인이 안 됩니다 계속 오류가 난다고 뜨고 어플 자체를 아예 못 들어가네요 업데이트된 것 같은데 로그인도 안 되면 어떻게 쓰라는 건가요 업데이트만 되면 뭐 하나요 사용을 못 하는데
151,오류 엄청나네 진짜 제대로 신경은 쓰는가 모르겠음
152,비밀번호 변경을 하려는데 상담원 분과 통화 후에도 거래 처리 중 일시적 오류가 발생했다는 문구가 지속적으로 뜨는데 지금 뭔가 어플 자체에 문제가 있는 건가요
153,지문 등록해도 매번 지문이 유효하지 않다고 재등록해야 되고 간편하게 사용하기 위해 지문등록했는데 자꾸 오류 나서 OTP 인증해야 되고 심지어 공인인증서 로그인할 때도 3번에 한 번은 오류로 튕기네요 휴대폰 재시작도 하고 v3 앱 구동도 확인하고 다 했는데 자꾸 에러가 나는 게 불안해서 국민은행 못 쓰겠어요 다른 은행으로 돈 옮기려 해도 에러 나서 그것도 안되네요 이러다 통장에 있는 돈 어느 순간 없어져 버릴까 불안하네요
